Recipient,usaid,chinaaid,corruption,effectiveness,stability,regulation,gdppc,infant,population,freedom
Seychelles,25.348570520000003,44.85978097913472,0.7405816276868173,0.5436252514521277,0.6925258020559949,-0.07644656300544707,14865.298813333333,12.446666666666667,91156.33333333333,67
Sierra Leone,592487.46635328,114087.38826027332,-0.7994816746764161,-1.241179134691672,-0.11144963209843464,-0.8909824781343151,581.3573204910679,92.95993372495857,7360228.301099563,66.31028769392981
Somalia,580529.947176,1173.8539475762889,-1.66611615197967,-2.2468971284648043,-2.398219869463351,-2.155444111654056,380.4106318457786,82.89024390243902,13998329.943714822,2.675422138836773
South Africa,6820822.304537401,1044780.945361754,-0.07362983634642599,0.10887976720435077,-0.2049559553640283,0.16995578352675172,6410.2082326259015,28.9739308024988,56133785.96660259,79.15449303219606
South Sudan,7198693.487612801,716222.5263147167,-1.6397319554630203,-2.1234341384335282,-2.3500197065225317,-1.7036040221181983,1304.2924917175712,63.83738160387286,11066128.908861293,18.37676278678173
Sudan,2465843.155041,157614.9201891415,-1.5056504524168712,-1.5143275080038456,-2.217075660341292,-1.4843070867433592,2234.2654295074803,45.90118515640179,37620810.539149016,6.588109578395182
Tanzania,6308964.306781599,298511.4275536881,-0.6813334928993451,-0.6707278007771841,-0.39208657694639987,-0.4283863172099639,960.8850841528358,41.19160501769058,52011252.52085344,62.95121689718023
Togo,5382.798481986,16448.613383978052,-0.8165014003181298,-1.2108721775703413,-0.2756005232520432,-0.8606364356411165,803.5902772658354,51.055112219451374,7457991.975062344,46.753117206982544
Tunisia,20791.45313582,10025.089447750675,-0.10698027785295079,-0.07926123976868119,-0.980122153328435,-0.36367083439287134,3897.2614923369274,14.786792452830188,11628878.477088949,73.21832884097034
Uganda,3507522.9487774004,320976.82311571,-1.08156402798721,-0.5893996282634547,-0.7891725002094846,-0.2871062233429092,833.5095786961845,39.21319109173026,37620767.9448684,36.43762653792244
Zambia,4787206.553200299,1021088.9171628493,-0.42860778016364126,-0.6502500650468616,0.17337084953334064,-0.5196049369977987,1476.236192212928,46.05791363755803,16470219.49233599,58.93588508364719
Zimbabwe,1292484.6607812,524102.38022578915,-1.3590040712365798,-1.2771692115593507,-0.6666539009058232,-1.7418536673672311,1368.5071982942884,42.46137463697967,14087464.11035818,28.386253630203292
